    1024,   32,      0.014
    1024,   64,      0.017
    1024,  128,      0.011
    1024,  256,      0.013
    2048,   32,      0.026
    2048,   64,      0.030
    2048,  128,      0.027
    2048,  256,      0.034
    4096,   32,      0.070
    4096,   64,      0.067
    4096,  128,      0.039
    4096,  256,      0.059
    8192,   32,      0.144
    8192,   64,      0.139
    8192,  128,      0.122
    8192,  256,      0.108
   16384,   32,      0.281
   16384,   64,      0.352
   16384,  128,      0.258
   16384,  256,      0.293
   65536,   32,      1.198
   65536,   64,      1.071
   65536,  128,      1.211
   65536,  256,      1.246
  131072,   32,      1.645
  131072,   64,      1.853
  131072,  128,      2.239
  131072,  256,      1.697
  262144,   32,      1.116
  262144,   64,      0.823
  262144,  128,      1.034
  262144,  256,      1.033
  524288,   32,      2.232
  524288,   64,      2.003
  524288,  128,      2.293
  524288,  256,      1.886
 1048576,   32,      3.315
 1048576,   64,      0.572
 1048576,  128,      3.117
 1048576,  256,      3.038
 2097152,   32,      3.496
 2097152,   64,      4.915
 2097152,  128,      5.058
 2097152,  256,      4.444
 4194304,   32,      4.814
 4194304,   64,      5.589
 4194304,  128,      7.806
 4194304,  256,      7.297
 8388608,   32,      7.699
 8388608,   64,      9.542
 8388608,  128,     10.126
 8388608,  256,      9.729
