    1024,   32,      0.016
    1024,   64,      0.017
    1024,  128,      0.012
    1024,  256,      0.015
    2048,   32,      0.034
    2048,   64,      0.025
    2048,  128,      0.024
    2048,  256,      0.032
    4096,   32,      0.063
    4096,   64,      0.062
    4096,  128,      0.065
    4096,  256,      0.056
    8192,   32,      0.124
    8192,   64,      0.091
    8192,  128,      0.111
    8192,  256,      0.137
   16384,   32,      0.164
   16384,   64,      0.272
   16384,  128,      0.206
   16384,  256,      0.121
   65536,   32,      0.806
   65536,   64,      1.052
   65536,  128,      1.114
   65536,  256,      1.026
  131072,   32,      1.417
  131072,   64,      1.601
  131072,  128,      1.777
  131072,  256,      1.168
  262144,   32,      0.576
  262144,   64,      0.466
  262144,  128,      0.820
  262144,  256,      0.868
  524288,   32,      1.441
  524288,   64,      1.344
  524288,  128,      1.112
  524288,  256,      1.567
 1048576,   32,      1.995
 1048576,   64,      2.410
 1048576,  128,      3.211
 1048576,  256,      1.127
 2097152,   32,      3.050
 2097152,   64,      0.718
 2097152,  128,      4.366
 2097152,  256,      3.389
 4194304,   32,      3.179
 4194304,   64,      4.727
 4194304,  128,      5.611
 4194304,  256,      5.842
 8388608,   32,      3.793
 8388608,   64,      5.780
 8388608,  128,      7.336
 8388608,  256,      6.801
