    1024,   32,      0.017
    1024,   64,      0.010
    1024,  128,      0.016
    1024,  256,      0.014
    2048,   32,      0.025
    2048,   64,      0.025
    2048,  128,      0.025
    2048,  256,      0.022
    4096,   32,      0.049
    4096,   64,      0.080
    4096,  128,      0.070
    4096,  256,      0.047
    8192,   32,      0.127
    8192,   64,      0.148
    8192,  128,      0.139
    8192,  256,      0.125
   16384,   32,      0.214
   16384,   64,      0.253
   16384,  128,      0.291
   16384,  256,      0.255
   65536,   32,      0.946
   65536,   64,      0.928
   65536,  128,      0.782
   65536,  256,      0.702
  131072,   32,      2.036
  131072,   64,      1.937
  131072,  128,      1.402
  131072,  256,      2.015
  262144,   32,      1.044
  262144,   64,      1.057
  262144,  128,      1.306
  262144,  256,      0.907
  524288,   32,      1.966
  524288,   64,      1.791
  524288,  128,      2.240
  524288,  256,      1.909
 1048576,   32,      0.231
 1048576,   64,      3.135
 1048576,  128,      3.125
 1048576,  256,      3.555
 2097152,   32,      5.007
 2097152,   64,      6.167
 2097152,  128,      5.272
 2097152,  256,      5.017
 4194304,   32,      5.936
 4194304,   64,      6.862
 4194304,  128,      6.590
 4194304,  256,      7.346
 8388608,   32,      3.704
 8388608,   64,      1.332
 8388608,  128,     10.259
 8388608,  256,     10.230
